"","contrast","RAWMATERIAL","estimate","lower.HPD","upper.HPD"
"601","(STRAT_mod26.6 - STRAT_mod29.6) - (STRAT_mod29.6 - STRAT_mod49.8)","Silcrete",0.0208691730225578,-0.692501389050618,0.661905485888043
"602","(STRAT_mod26.6 - STRAT_mod29.6) - (STRAT_mod37.1 - STRAT_mod49.8)","Silcrete",-0.210503845701773,-0.786027871514666,0.294963972313095
"603","(STRAT_mod26.6 - STRAT_mod37.1) - (STRAT_mod26.6 - STRAT_mod49.8)","Silcrete",-0.285461910205024,-0.66478425686481,0.137770757386471
"604","(STRAT_mod26.6 - STRAT_mod37.1) - (STRAT_mod27.2 - STRAT_mod29.6)","Silcrete",-0.484982725260025,-1.09208453847769,0.0987941389001834
"605","(STRAT_mod26.6 - STRAT_mod37.1) - (STRAT_mod27.2 - STRAT_mod37.1)","Silcrete",-0.261930797369552,-0.695545578198165,0.158089253568288
"606","(STRAT_mod26.6 - STRAT_mod37.1) - (STRAT_mod27.2 - STRAT_mod49.8)","Silcrete",-0.548631115424839,-1.14133694260239,0.0387966113813518
"607","(STRAT_mod26.6 - STRAT_mod37.1) - (STRAT_mod29.6 - STRAT_mod37.1)","Silcrete",0.0745020026089918,-0.288040929179705,0.433021893041588
"608","(STRAT_mod26.6 - STRAT_mod37.1) - (STRAT_mod29.6 - STRAT_mod49.8)","Silcrete",-0.210503845701773,-0.786027871514666,0.294963972313095
"609","(STRAT_mod26.6 - STRAT_mod37.1) - (STRAT_mod37.1 - STRAT_mod49.8)","Silcrete",-0.434468936122079,-1.11187616854549,0.261052480307621
"610","(STRAT_mod26.6 - STRAT_mod49.8) - (STRAT_mod27.2 - STRAT_mod29.6)","Silcrete",-0.20674830927259,-0.786240410342156,0.375806766902627
"611","(STRAT_mod26.6 - STRAT_mod49.8) - (STRAT_mod27.2 - STRAT_mod37.1)","Silcrete",0.0221390442319317,-0.566710341862011,0.59774351665917
"612","(STRAT_mod26.6 - STRAT_mod49.8) - (STRAT_mod27.2 - STRAT_mod49.8)","Silcrete",-0.261930797369552,-0.695545578198165,0.158089253568288
"613","(STRAT_mod26.6 - STRAT_mod49.8) - (STRAT_mod29.6 - STRAT_mod37.1)","Silcrete",0.357469128276931,-0.174663302609465,0.917678090512002
"614","(STRAT_mod26.6 - STRAT_mod49.8) - (STRAT_mod29.6 - STRAT_mod49.8)","Silcrete",0.0745020026089918,-0.288040929179705,0.433021893041588
"615","(STRAT_mod26.6 - STRAT_mod49.8) - (STRAT_mod37.1 - STRAT_mod49.8)","Silcrete",-0.15254008221539,-0.522151877511291,0.207479685731907
"616","(STRAT_mod27.2 - STRAT_mod29.6) - (STRAT_mod27.2 - STRAT_mod37.1)","Silcrete",0.223408067382293,-0.189203633406708,0.647468317631641
"617","(STRAT_mod27.2 - STRAT_mod29.6) - (STRAT_mod27.2 - STRAT_mod49.8)","Silcrete",-0.0558553547557744,-0.474562173742306,0.321661773223769
"618","(STRAT_mod27.2 - STRAT_mod29.6) - (STRAT_mod29.6 - STRAT_mod37.1)","Silcrete",0.569651257598237,-0.161480444515438,1.35663774777685
"619","(STRAT_mod27.2 - STRAT_mod29.6) - (STRAT_mod29.6 - STRAT_mod49.8)","Silcrete",0.283694536017236,-0.455640492690635,1.01828927175143
"620","(STRAT_mod27.2 - STRAT_mod29.6) - (STRAT_mod37.1 - STRAT_mod49.8)","Silcrete",0.0471643370331298,-0.558262230000994,0.671634515479925
"621","(STRAT_mod27.2 - STRAT_mod37.1) - (STRAT_mod27.2 - STRAT_mod49.8)","Silcrete",-0.285461910205024,-0.66478425686481,0.137770757386471
"622","(STRAT_mod27.2 - STRAT_mod37.1) - (STRAT_mod29.6 - STRAT_mod37.1)","Silcrete",0.334137124016396,-0.126031222015606,0.813869081048173
"623","(STRAT_mod27.2 - STRAT_mod37.1) - (STRAT_mod29.6 - STRAT_mod49.8)","Silcrete",0.0471643370331298,-0.558262230000994,0.671634515479925
"624","(STRAT_mod27.2 - STRAT_mod37.1) - (STRAT_mod37.1 - STRAT_mod49.8)","Silcrete",-0.171015150515864,-0.904514365430591,0.59955206271732
"625","(STRAT_mod27.2 - STRAT_mod49.8) - (STRAT_mod29.6 - STRAT_mod37.1)","Silcrete",0.616108828496626,-0.00113842346233711,1.24266342503329
"626","(STRAT_mod27.2 - STRAT_mod49.8) - (STRAT_mod29.6 - STRAT_mod49.8)","Silcrete",0.334137124016396,-0.126031222015606,0.813869081048173
"627","(STRAT_mod27.2 - STRAT_mod49.8) - (STRAT_mod37.1 - STRAT_mod49.8)","Silcrete",0.108423526157628,-0.365632531668281,0.561214644662663
"628","(STRAT_mod29.6 - STRAT_mod37.1) - (STRAT_mod29.6 - STRAT_mod49.8)","Silcrete",-0.285461910205024,-0.66478425686481,0.137770757386471
"629","(STRAT_mod29.6 - STRAT_mod37.1) - (STRAT_mod37.1 - STRAT_mod49.8)","Silcrete",-0.508872263890129,-1.22013620738221,0.206673317423421
"630","(STRAT_mod29.6 - STRAT_mod49.8) - (STRAT_mod37.1 - STRAT_mod49.8)","Silcrete",-0.223408067382293,-0.647468317631641,0.189203633406708
